dataset,method,compression_ratio,file_size_mb,write_time,read_time,write_throughput_gbs,read_throughput_gbs,bytes_read,actual_io_bytes,chunk_size,creation_time,conversion_time,run_number,run_directory
4D_Diff-4x4-binning,real_space_none,0.9999952912552352,1024.0048217773438,0.4292287826538086,0.1956071853637695,2.329759886597686,5.112286637836467,1073741824.0,0.0,"(32, 32, 64, 64)",,,1,run_001_20251205_173729
4D_Diff-4x4-binning,real_space_gzip_1,5.0137406911578335,204.2387237548828,6.645949602127075,2.094735145568848,0.15046758700667,0.4773873213114202,1073741824.0,0.0,"(32, 32, 64, 64)",,,1,run_001_20251205_173729
4D_Diff-4x4-binning,real_space_gzip_6,6.304283258655899,162.42924976348877,28.28932356834412,1.7469282150268557,0.0353490247861212,0.5724333669798944,1073741824.0,0.0,"(32, 32, 64, 64)",,,1,run_001_20251205_173729
4D_Diff-4x4-binning,real_space_gzip_9,6.788252795940615,150.8488311767578,164.6965353488922,1.5312461853027344,0.0060717731425351,0.6530628514201297,1073741824.0,0.0,"(32, 32, 64, 64)",,,1,run_001_20251205_173729
4D_Diff-4x4-binning,real_space_lzf,3.77383459699851,271.3420457839966,3.929956197738648,2.606809616088867,0.2544557622742498,0.3836106763716609,1073741824.0,0.0,"(32, 32, 64, 64)",,,1,run_001_20251205_173729
4D_Diff-4x4-binning,real_space_szip,2.735699864348764,374.3100671768189,5.551643371582031,4.87378716468811,0.1801268440834725,0.2051792510032582,1073741824.0,0.0,"(32, 32, 64, 64)",,,1,run_001_20251205_173729
4D_Diff-4x4-binning,real_space_blosc_blosclz,3.927298783620992,260.73901081085205,1.8694970607757568,0.7780287265777588,0.5349032212893906,1.2852995857859968,1073741824.0,0.0,"(32, 32, 64, 64)",,,1,run_001_20251205_173729
4D_Diff-4x4-binning,real_space_blosc_lz4,4.198880533753635,243.87452602386475,0.9161806106567384,0.498539924621582,1.091487844610877,2.005857406022301,1073741824.0,0.0,"(32, 32, 64, 64)",,,1,run_001_20251205_173729
4D_Diff-4x4-binning,real_space_blosc_lz4hc,5.3029805323447725,193.09895515441892,10.100727081298828,0.3954298496246338,0.0990027739539134,2.528893559626976,1073741824.0,0.0,"(32, 32, 64, 64)",,,1,run_001_20251205_173729
4D_Diff-4x4-binning,real_space_blosc_zlib,6.935924149667473,147.63713932037354,15.758573293685911,1.806291341781616,0.0634575212719717,0.5536205466243672,1073741824.0,0.0,"(32, 32, 64, 64)",,,1,run_001_20251205_173729
4D_Diff-4x4-binning,real_space_blosc_zstd,6.722290976713587,152.3290205001831,4.726740598678589,0.8232574462890625,0.2115622761865884,1.2146868570793097,1073741824.0,0.0,"(32, 32, 64, 64)",,,1,run_001_20251205_173729
4D_Diff-4x4-binning,real_space_lz4_hdf5,3.83447213231564,267.0510997772217,1.3257989883422852,1.1484427452087402,0.7542621534583848,0.8707443224069831,1073741824.0,0.0,"(32, 32, 64, 64)",,,1,run_001_20251205_173729
4D_Diff-4x4-binning,real_space_bitshuffle_lz4,4.172342678731932,245.4256706237793,1.1121037006378174,0.4841482639312744,0.8991967200778819,2.06548298217579,1073741824.0,0.0,"(32, 32, 64, 64)",,,1,run_001_20251205_173729
4D_Diff-4x4-binning,balanced_none,0.9999782671287268,1024.0222549438477,0.4234292507171631,0.2078056335449218,2.3616696255780574,4.812189077558513,1073741824.0,0.0,"(16, 16, 64, 64)",,,1,run_001_20251205_173729
4D_Diff-4x4-binning,balanced_gzip_1,5.013086737481699,204.26536655426025,6.768518924713135,2.037916898727417,0.1477428091910642,0.4906971430603735,1073741824.0,0.0,"(16, 16, 64, 64)",,,1,run_001_20251205_173729
4D_Diff-4x4-binning,balanced_gzip_6,6.301866474173675,162.4915418624878,28.43994903564453,1.6905291080474854,0.0351618070323077,0.591530778878438,1073741824.0,0.0,"(16, 16, 64, 64)",,,1,run_001_20251205_173729
4D_Diff-4x4-binning,balanced_gzip_9,6.784648204797481,150.92897510528564,164.36576747894287,1.4484169483184814,0.0060839919122947,0.690408933118972,1073741824.0,0.0,"(16, 16, 64, 64)",,,1,run_001_20251205_173729
4D_Diff-4x4-binning,balanced_lzf,3.7735410668367337,271.3631525039673,3.930898427963257,2.5544495582580566,0.2543947696247488,0.3914737704517153,1073741824.0,0.0,"(16, 16, 64, 64)",,,1,run_001_20251205_173729
4D_Diff-4x4-binning,balanced_szip,2.735566498595578,374.3283157348633,5.608546495437622,4.853918552398682,0.1782993153062863,0.2060191140837799,1073741824.0,0.0,"(16, 16, 64, 64)",,,1,run_001_20251205_173729
4D_Diff-4x4-binning,balanced_blosc_blosclz,3.927002094630408,260.75870990753174,1.8548922538757324,0.7097666263580322,0.5391148719881357,1.4089138075302563,1073741824.0,0.0,"(16, 16, 64, 64)",,,1,run_001_20251205_173729
4D_Diff-4x4-binning,balanced_blosc_lz4,4.198552459471714,243.8935823440552,0.918020486831665,0.4387612342834472,1.089300309028253,2.279143921256231,1073741824.0,0.0,"(16, 16, 64, 64)",,,1,run_001_20251205_173729
