dataset,method,n_runs,compression_ratio_mean,compression_ratio_std,compression_ratio_min,compression_ratio_max,compression_ratio_median,compression_ratio_cv_percent,file_size_mb_mean,file_size_mb_std,file_size_mb_min,file_size_mb_max,file_size_mb_median,file_size_mb_cv_percent,write_time_mean,write_time_std,write_time_min,write_time_max,write_time_median,write_time_cv_percent,read_time_mean,read_time_std,read_time_min,read_time_max,read_time_median,read_time_cv_percent,write_throughput_gbs_mean,write_throughput_gbs_std,write_throughput_gbs_min,write_throughput_gbs_max,write_throughput_gbs_median,write_throughput_gbs_cv_percent,read_throughput_gbs_mean,read_throughput_gbs_std,read_throughput_gbs_min,read_throughput_gbs_max,read_throughput_gbs_median,read_throughput_gbs_cv_percent,chunk_size
3D_EELS,balanced_bitshuffle_lz4,10,4.248280528251703,9.362222582871203e-16,4.248280528251702,4.248280528251702,4.248280528251702,2.2037675056086854e-14,1.8831148147583008,0.0,1.8831148147583008,1.8831148147583008,1.8831148147583008,0.0,0.007215404510498,0.00030745933013236486,0.0069663524627685,0.0078821182250976,0.0071005821228027,4.261151674657036,0.004603815078735299,0.00040921221084869543,0.0043151378631591,0.0054006576538085,0.0044375658035278,8.888545778887124,1.0844282355957988,0.0436987673305386,0.991167574107683,1.1214620623566858,1.1002623050773468,4.0296596765142265,1.7077916095433046,0.13542413252382568,1.446583083171464,1.8104867672247085,1.7605429766457832,7.929780880000964,"(16, 16, 1, 128)"
3D_EELS,balanced_blosc_blosclz,10,2.883507587048943,0.0,2.883507587048943,2.883507587048943,2.883507587048943,0.0,2.774398803710937,0.0,2.774398803710937,2.774398803710937,2.774398803710937,0.0,0.01153295040130611,0.0006413398134367931,0.0110349655151367,0.0130198001861572,0.01124727725982665,5.560934462738704,0.00528602600097652,0.00013087164305383833,0.0051033496856689,0.0055749416351318,0.00527858734130855,2.475803997741623,0.6791702964491009,0.03527024687680909,0.6000476111996191,0.707976838648345,0.6946135874755186,5.193137429774559,1.4787537192511995,0.03593561456890318,1.4013599623658213,1.5308572763373045,1.4800456025159137,2.430128431873023,"(16, 16, 1, 128)"
3D_EELS,balanced_blosc_lz4,10,2.951345037469655,0.0,2.951345037469655,2.951345037469655,2.951345037469655,0.0,2.7106285095214844,0.0,2.7106285095214844,2.7106285095214844,2.7106285095214844,0.0,0.00862262248992916,0.0003933409850555446,0.0082147121429443,0.0094468593597412,0.008449077606201099,4.5617326458968765,0.00440828800201411,0.00013137669229937933,0.0042312145233154,0.0046391487121582,0.0043765306472777505,2.9802202632712387,0.9076732468081461,0.03963818297982927,0.8269944224314161,0.9510375852561312,0.9246571742006044,4.367010167945112,1.773627311925949,0.05211634911967305,1.684037413917155,1.8463965740688568,1.785107265632378,2.9384047465462673,"(16, 16, 1, 128)"
3D_EELS,balanced_blosc_lz4hc,10,3.713278479242029,0.0,3.713278479242029,3.713278479242029,3.713278479242029,0.0,2.154430389404297,0.0,2.154430389404297,2.154430389404297,2.154430389404297,0.0,0.08028659820556636,0.007347891621018686,0.0762741565704345,0.0997402667999267,0.076778769493103,9.152077414221854,0.0036011934280395,0.0003840964541920132,0.0033955574035644,0.0046868324279785,0.0034899711608886,10.66581015063988,0.09793502275255825,0.007635595283118607,0.0783284449767056,0.1024265668907873,0.10175340949796835,7.796593157904945,2.1871726230567736,0.18508947655387434,1.6669040594160138,2.300800449375088,2.238558444068494,8.462499694934682,"(16, 16, 1, 128)"
3D_EELS,balanced_blosc_zlib,10,4.835565229571822,9.362222582871203e-16,4.835565229571823,4.835565229571823,4.835565229571823,1.9361175247139013e-14,1.6544084548950195,0.0,1.6544084548950195,1.6544084548950195,1.6544084548950195,0.0,0.12464663982391355,0.004605323712432414,0.1222944259643554,0.1376397609710693,0.1232469081878662,3.6947034584632896,0.015734434127807572,0.00028389845742841246,0.0152430534362792,0.0163276195526123,0.01576018333435055,1.804313107941243,0.0627478904069673,0.002126693410653204,0.0567604879933068,0.0638827153273287,0.06338920453323896,3.3892667894649473,0.4966672888308462,0.008921719260751755,0.4784837112860126,0.5125285450620953,0.49571140233673716,1.7963170640356574,"(16, 16, 1, 128)"
3D_EELS,balanced_blosc_zstd,10,4.796244700528018,9.362222582871203e-16,4.7962447005280175,4.7962447005280175,4.7962447005280175,1.9519901855383892e-14,1.6679716110229492,0.0,1.6679716110229492,1.6679716110229492,1.6679716110229492,0.0,0.04074444770812984,0.002073477358830245,0.0396504402160644,0.0463781356811523,0.0398633480072021,5.088981383877044,0.007387685775756779,0.00014655147866830145,0.0072467327117919,0.0077016353607177,0.0073499679565429,1.9837264756064836,0.19214780104891682,0.008823862326073507,0.1684522218338097,0.1970343824035212,0.19598214117885315,4.592226545349398,1.057868982883873,0.02050061552940305,1.0143949478376622,1.078072051324231,1.0629375090843989,1.9379163073215366,"(16, 16, 1, 128)"
3D_EELS,balanced_gzip_1,10,3.5882088743986933,0.0,3.5882088743986933,3.5882088743986933,3.5882088743986933,0.0,2.229524612426758,0.0,2.229524612426758,2.229524612426758,2.229524612426758,0.0,0.060789752006530716,0.0021143180950455483,0.0588271617889404,0.0661680698394775,0.060085177421569796,3.4780831065380964,0.0209943532943725,0.00030857973985049805,0.0203628540039062,0.0214219093322753,0.0210230350494384,1.4698225543018386,0.12864880837262535,0.004221440003860662,0.1180705439791877,0.1328042992798057,0.13002377132554285,3.2813673575844207,0.37219691866578347,0.005522886022401695,0.3646967167501391,0.3836642937429749,0.3716180738363323,1.4838612963803188,"(16, 16, 1, 128)"
3D_EELS,balanced_gzip_6,10,4.050692764088393,9.362222582871203e-16,4.050692764088392,4.050692764088392,4.050692764088392,2.3112645485909044e-14,1.974970817565918,0.0,1.974970817565918,1.974970817565918,1.974970817565918,0.0,0.3142439842224121,0.002867836970106081,0.3107361793518066,0.3200497627258301,0.314572811126709,0.9126147560795674,0.01847126483917231,0.0002805427394801618,0.0180010795593261,0.0188770294189453,0.018515586853027302,1.51880632930567,0.024863111044078717,0.00022591771354803708,0.0244102664956279,0.0251419066048144,0.02483529293754075,0.9086461993735115,0.4230423727197167,0.0064472256855214495,0.4138627867030413,0.4340017482980583,0.4219438914608743,1.5240141653122314,"(16, 16, 1, 128)"
3D_EELS,balanced_gzip_9,10,4.181919246152519,0.0,4.181919246152519,4.181919246152519,4.181919246152519,0.0,1.9129972457885747,2.340555645717801e-16,1.9129972457885744,1.9129972457885744,1.9129972457885744,1.2235018376897758e-14,2.7932533979415894,0.04763607466122829,2.770294427871704,2.92724609375,2.7782394886016846,1.7053975373781831,0.01764624118804927,0.00031655884720989554,0.0171551704406738,0.0182092189788818,0.0176165103912353,1.7939165844807883,0.0027976209781016,4.5818614675246805e-05,0.0026688907422852,0.0028200973591106,0.0028120327930854,1.6377706284694162,0.44285657701558,0.007912692485066942,0.4290409165302782,0.4554020624287739,0.44349139591929615,1.7867392956859185,"(16, 16, 1, 128)"
3D_EELS,balanced_lz4_hdf5,10,2.027868846910867,0.0,2.027868846910867,2.027868846910867,2.027868846910867,0.0,3.945028305053711,0.0,3.945028305053711,3.945028305053711,3.945028305053711,0.0,0.01409175395965572,0.0003590715453264804,0.0138497352600097,0.0150461196899414,0.01394665241241455,2.5480968966282815,0.0118789672851562,0.00021492035747309104,0.0116646289825439,0.012261152267456,0.01182174682617185,1.8092511942654532,0.5547104940849523,0.013443818819864294,0.51923686378906,0.5640902048545361,0.5601702666380729,2.4235739116565935,0.6578654710744558,0.011697452316066692,0.6371750247924242,0.669759836484415,0.6608603294328939,1.7780918486209467,"(16, 16, 1, 128)"
